eeschema (2011-12-28 BZR 3254)-stable  >> Creation date: 2/13/2012 3:45:22 PM

#Cmp ( order = Reference )
| P24        DIL6        ; PROTO-6     
| P25        DIL6        ; PROTO-6     
| P26        DIL6        ; PROTO-6     
| P27        DIL6        ; PROTO-6     
| P28        DIL6        ; PROTO-6     
| P29        DIL6        ; PROTO-6     
| P30        DIL6        ; PROTO-6     
| P31        DIL6        ; PROTO-6     
| P32        DIL6        ; PROTO-6     
| P33        DIL6        ; PROTO-6     
| P34        DIL6        ; PROTO-6     
| P35        DIL6        ; PROTO-6     
| P36        DIL6        ; PROTO-6     
| P37        DIL6        ; PROTO-6     
| P38        DIL6        ; PROTO-6     
| P39        DIL6        ; PROTO-6     
| P41        STACK-L     ; pin_sck_4-90
| P42        STACK-R     ; pin_strip_4-90
| P43        CONN_1      ; Pad01       
| P49        CONN_1      ; vite_3mm    
| P50        CONN_1      ; vite_3mm    
| P51        CONN_1      ; vite_3mm    
| P52        CONN_1      ; vite_3mm    
| P53        CONN_1      ; vite_4mm    
| P54        CONN_1      ; vite_4mm    
| PCB1       PCB         ; PCB         
| Q1         2N5401      ; to92_2N5401 
| Q2         2N5401      ; to92_2N5401 
| Q3         2N5401      ; to92_2N5401 
| Q4         2N5401      ; to92_2N5401 
| Q5         2N5401      ; to92_2N5401 
| Q6         2N5401      ; to92_2N5401 
| Q7         2N5401      ; to92_2N5401 
| Q8         2N5401      ; to92_2N5401 
| Q9         2N5401      ; to92_2N5401 
| Q10        2N5401      ; to92_2N5401 
| Q11        2N5401      ; to92_2N5401 
| Q12        2N5401      ; to92_2N5401 
| Q13        2N5401      ; to92_2N5401 
| Q14        2N5401      ; to92_2N5401 
| Q15        2N5401      ; to92_2N5401 
| Q16        2N5401      ; to92_2N5401 
| Q17        2N5401      ; to92_2N5401 ; 2N5401RLRAGOSCT-ND
| R1         100         ; rc03_vert   
| R2         100         ; rc03_vert   
| R3         100         ; rc03_vert   
| R4         100         ; rc03_vert   
| R5         100         ; rc03_vert   
| R6         100         ; rc03_vert   
| R7         100         ; rc03_vert   
| R8         100         ; rc03_vert   
| R9         100         ; rc03_vert   
| R10        100         ; rc03_vert   
| R11        100         ; rc03_vert   
| R12        100         ; rc03_vert   
| R13        100         ; rc03_vert   
| R14        100         ; rc03_vert   
| R15        100         ; rc03_vert   
| R16        100         ; rc03_vert   
| R17        10k         ; RC03        
| R18        10k         ; RC03        
| R19        10k         ; RC03        
| R20        4k7         ; RC03        
| R21        4k7         ; RC03        
| R22        10k         ; RC03        
| R23        10k         ; RC03        
| R24        1k          ; RC03        
| R25        1k          ; RC03        
| R26        1k          ; RC03        
| R30        100E        ; RC03        
| R31        10K         ; RC03        
| R32        LDR         ; pin_strip_2 
| R33        680E        ; RC03        
| R34        2k          ; Pot-Var2    
| R35        680E        ; RC03        
| R36        10k         ; RC03        
| R37        10k         ; RC03        
| R38        10k         ; RC03        
| rowBoB1    CONN_1      ; vite_3mm    
| SP1        SPEAKER     ; Speaker     ; 102-1169-ND 
| SW1        INC         ; SW_PB_V     ; P10884S-ND  
| SW2        DEC         ; SW_PB_V     ; P10884S-ND  
| SW3        MODE        ; SW_PB_V     ; P10884S-ND  
| SW4        RST         ; SW_PB_V     ; P10884S-ND  
| SW5        ENTER       ; SW_PB_V     ; P10884S-ND  
| SW12       INC         ; SW-PB-MOD   ; P10884S-ND  
| SW22       DEC         ; SW-PB-MOD   ; P10884S-ND  
| SW32       MODE        ; SW-PB-MOD   ; P10884S-ND  
| SW42       RST         ; SW-PB-MOD   ; P10884S-ND  
| SW52       ENTER       ; SW-PB-MOD   ; P10884S-ND  
| U3         ATMEGA8-P   ; dil_28-300_socket
| U4         74HC154     ; DIP-24__600_ELL; 296-8757-5-ND
| U5         STP8DP05    ; dil_16-300_socket
| U6         DS3231N     ; DS3231      
| X1         16MHz       ; XTAL        ; 490-1214-ND 
#End Cmp

#Cmp ( order = Value )
| 100          R1        ; rc03_vert   
| 100          R2        ; rc03_vert   
| 100          R3        ; rc03_vert   
| 100          R4        ; rc03_vert   
| 100          R5        ; rc03_vert   
| 100          R6        ; rc03_vert   
| 100          R7        ; rc03_vert   
| 100          R8        ; rc03_vert   
| 100          R9        ; rc03_vert   
| 100          R10       ; rc03_vert   
| 100          R11       ; rc03_vert   
| 100          R12       ; rc03_vert   
| 100          R13       ; rc03_vert   
| 100          R14       ; rc03_vert   
| 100          R15       ; rc03_vert   
| 100          R16       ; rc03_vert   
| 100E         R30       ; RC03        
| 100n         C3        ; C2          
| 100n         C6        ; C2          
| 100n         C7        ; C2          
| 100n         C9        ; C2          
| 100n         C10       ; C2          
| 100u         C1        ; CP_5x11mm   
| 100u         C2        ; CP_5x11mm   
| 100u         C8        ; CP_5x11mm   
| 10k          R17       ; RC03        
| 10k          R18       ; RC03        
| 10k          R19       ; RC03        
| 10k          R22       ; RC03        
| 10k          R23       ; RC03        
| 10K          R31       ; RC03        
| 10k          R36       ; RC03        
| 10k          R37       ; RC03        
| 10k          R38       ; RC03        
| 16MHz        X1        ; XTAL        ; 490-1214-ND 
| 1k           R24       ; RC03        
| 1k           R25       ; RC03        
| 1k           R26       ; RC03        
| 22p          C11       ; cnp_3mm_disc
| 22p          C12       ; cnp_3mm_disc
| 2k           R34       ; Pot-Var2    
| 2N5401       Q1        ; to92_2N5401 
| 2N5401       Q2        ; to92_2N5401 
| 2N5401       Q3        ; to92_2N5401 
| 2N5401       Q4        ; to92_2N5401 
| 2N5401       Q5        ; to92_2N5401 
| 2N5401       Q6        ; to92_2N5401 
| 2N5401       Q7        ; to92_2N5401 
| 2N5401       Q8        ; to92_2N5401 
| 2N5401       Q9        ; to92_2N5401 
| 2N5401       Q10       ; to92_2N5401 
| 2N5401       Q11       ; to92_2N5401 
| 2N5401       Q12       ; to92_2N5401 
| 2N5401       Q13       ; to92_2N5401 
| 2N5401       Q14       ; to92_2N5401 
| 2N5401       Q15       ; to92_2N5401 
| 2N5401       Q16       ; to92_2N5401 
| 2N5401       Q17       ; to92_2N5401 ; 2N5401RLRAGOSCT-ND
| 4k7          R20       ; RC03        
| 4k7          R21       ; RC03        
| 680E         R33       ; RC03        
| 680E         R35       ; RC03        
| 74HC154      U4        ; DIP-24__600_ELL; 296-8757-5-ND
| 7Seg_Sel     K3        ; 7Seg_Sel    
| 7SegDisp     P1        ; pin_strip_8 
| ATMEGA8-P    U3        ; dil_28-300_socket
| BackPlate    BP1       ; BackPlate   
| BAFFLE       BF1       ; Baffle      
| BATT_RTC     BT1       ; CR2032      
| CDOT1        CD1       ; pin_strip_4 
| CDOT2        CD2       ; pin_strip_4 
| CDOT3        CD3       ; pin_strip_4 
| CONN_1       P8        ; vite_4mm    
| CONN_1       P9        ; vite_4mm    
| CONN_1       P10       ; vite_4mm    
| CONN_1       P11       ; vite_4mm    
| CONN_1       P14       ; vite_4mm    
| CONN_1       P15       ; vite_4mm    
| CONN_1       P43       ; Pad01       
| CONN_1       P49       ; vite_3mm    
| CONN_1       P50       ; vite_3mm    
| CONN_1       P51       ; vite_3mm    
| CONN_1       P52       ; vite_3mm    
| CONN_1       P53       ; vite_4mm    
| CONN_1       P54       ; vite_4mm    
| CONN_1       rowBoB1   ; vite_3mm    
| DBG          D258      ; led_5mm_blue
| DEC          SW2       ; SW_PB_V     ; P10884S-ND  
| DEC          SW22      ; SW-PB-MOD   ; P10884S-ND  
